,Study_ID,Study_Name,Location_ID,Location_Description,Instrument_ID,Field_Collection_Type,Field_Collector,Time_Zone,Field_Collection_Date,Field_Collection_Time,Field_Collection_Date_Time,Field_Collection_Comment,Matrix,Source,Z,Depth_Value_Units,Result_Parameter_Name,Result_Value,Result_Value_Units,Result_Data_Qualifier,Result_Method,Result_Method_Description,Result_Comment,Result_Data_Review_Status,Lat,Lon,Continuous_Result_System_ID,dtUTC,j,i,mod_dissolved_oxygen,k
10,MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,HCB007,Hood Canal - Lynch Cove,SBE 43,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,01/19/2024,21:47:14.0033333,1/19/2024 9:47:14 PM,,Water,Salt/Marine Water,6.5,m,Dissolved Oxygen,5.40191989898682,mg/L,,DO-CLARK,Dissolved Oxygen (DO) by Electrochemical Polarographic (Clark/Beckman) Cell Sensor with Fixed Membrane (Flow Dependent),,Final,47.3983355414537,-122.928314938546,242479919,2024-01-19 21:47:14.003333,71,138,199.42620849609375,6
11,MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,HCB007,Hood Canal - Lynch Cove,SBE 43,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,01/19/2024,21:47:15.4033333,1/19/2024 9:47:15 PM,,Water,Salt/Marine Water,7.0,m,Dissolved Oxygen,4.76554191088676,mg/L,,DO-CLARK,Dissolved Oxygen (DO) by Electrochemical Polarographic (Clark/Beckman) Cell Sensor with Fixed Membrane (Flow Dependent),,Final,47.3983355414537,-122.928314938546,242479920,2024-01-19 21:47:15.403333,71,138,199.42620849609375,6
12,MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,HCB007,Hood Canal - Lynch Cove,SBE 43,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,01/19/2024,21:47:16.8033333,1/19/2024 9:47:16 PM,,Water,Salt/Marine Water,7.5,m,Dissolved Oxygen,4.68618591237068,mg/L,,DO-CLARK,Dissolved Oxygen (DO) by Electrochemical Polarographic (Clark/Beckman) Cell Sensor with Fixed Membrane (Flow Dependent),,Final,47.3983355414537,-122.928314938546,242479921,2024-01-19 21:47:16.803333,71,138,191.96954345703125,7
13,MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,HCB007,Hood Canal - Lynch Cove,SBE 43,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,01/19/2024,21:47:18.2033333,1/19/2024 9:47:18 PM,,Water,Salt/Marine Water,8.0,m,Dissolved Oxygen,4.67578191256523,mg/L,,DO-CLARK,Dissolved Oxygen (DO) by Electrochemical Polarographic (Clark/Beckman) Cell Sensor with Fixed Membrane (Flow Dependent),,Final,47.3983355414537,-122.928314938546,242479922,2024-01-19 21:47:18.203333,71,138,191.96954345703125,7
14,MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,HCB007,Hood Canal - Lynch Cove,SBE 43,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,01/19/2024,21:47:19.6033333,1/19/2024 9:47:19 PM,,Water,Salt/Marine Water,8.5,m,Dissolved Oxygen,4.74789591121674,mg/L,,DO-CLARK,Dissolved Oxygen (DO) by Electrochemical Polarographic (Clark/Beckman) Cell Sensor with Fixed Membrane (Flow Dependent),,Final,47.3983355414537,-122.928314938546,242479923,2024-01-19 21:47:19.603333,71,138,183.40867614746094,8
15,MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,HCB007,Hood Canal - Lynch Cove,SBE 43,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,01/19/2024,21:47:21.0033333,1/19/2024 9:47:21 PM,,Water,Salt/Marine Water,9.0,m,Dissolved Oxygen,4.73045391154289,mg/L,,DO-CLARK,Dissolved Oxygen (DO) by Electrochemical Polarographic (Clark/Beckman) Cell Sensor with Fixed Membrane (Flow Dependent),,Final,47.3983355414537,-122.928314938546,242479924,2024-01-19 21:47:21.003333,71,138,183.40867614746094,8
16,MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,HCB007,Hood Canal - Lynch Cove,SBE 43,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,01/19/2024,21:47:22.4066667,1/19/2024 9:47:22 PM,,Water,Salt/Marine Water,9.5,m,Dissolved Oxygen,4.42404591727257,mg/L,,DO-CLARK,Dissolved Oxygen (DO) by Electrochemical Polarographic (Clark/Beckman) Cell Sensor with Fixed Membrane (Flow Dependent),,Final,47.3983355414537,-122.928314938546,242479925,2024-01-19 21:47:22.406666,71,138,178.2320098876953,9
17,MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,HCB007,Hood Canal - Lynch Cove,SBE 43,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,01/19/2024,21:47:23.8066667,1/19/2024 9:47:23 PM,,Water,Salt/Marine Water,10.0,m,Dissolved Oxygen,3.95198992609978,mg/L,,DO-CLARK,Dissolved Oxygen (DO) by Electrochemical Polarographic (Clark/Beckman) Cell Sensor with Fixed Membrane (Flow Dependent),,Final,47.3983355414537,-122.928314938546,242479926,2024-01-19 21:47:23.806666,71,138,178.2320098876953,9
18,MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,HCB007,Hood Canal - Lynch Cove,SBE 43,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,01/19/2024,21:47:25.2066667,1/19/2024 9:47:25 PM,,Water,Salt/Marine Water,10.5,m,Dissolved Oxygen,3.53093393397331,mg/L,,DO-CLARK,Dissolved Oxygen (DO) by Electrochemical Polarographic (Clark/Beckman) Cell Sensor with Fixed Membrane (Flow Dependent),,Final,47.3983355414537,-122.928314938546,242479927,2024-01-19 21:47:25.206666,71,138,173.77365112304688,10
19,MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,HCB007,Hood Canal - Lynch Cove,SBE 43,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,01/19/2024,21:47:26.6066667,1/19/2024 9:47:26 PM,,Water,Salt/Marine Water,11.0,m,Dissolved Oxygen,3.14292594122887,mg/L,,DO-CLARK,Dissolved Oxygen (DO) by Electrochemical Polarographic (Clark/Beckman) Cell Sensor with Fixed Membrane (Flow Dependent),,Final,47.3983355414537,-122.928314938546,242479928,2024-01-19 21:47:26.606666,71,138,173.77365112304688,10
20,MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,HCB007,Hood Canal - Lynch Cove,SBE 43,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,01/19/2024,21:47:28.0066667,1/19/2024 9:47:28 PM,,Water,Salt/Marine Water,11.5,m,Dissolved Oxygen,2.79969594764709,mg/L,,DO-CLARK,Dissolved Oxygen (DO) by Electrochemical Polarographic (Clark/Beckman) Cell Sensor with Fixed Membrane (Flow Dependent),,Final,47.3983355414537,-122.928314938546,242479929,2024-01-19 21:47:28.006666,71,138,171.318603515625,11
21,MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,HCB007,Hood Canal - Lynch Cove,SBE 43,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,01/19/2024,21:47:29.4066667,1/19/2024 9:47:29 PM,,Water,Salt/Marine Water,12.0,m,Dissolved Oxygen,2.43943195438385,mg/L,,DO-CLARK,Dissolved Oxygen (DO) by Electrochemical Polarographic (Clark/Beckman) Cell Sensor with Fixed Membrane (Flow Dependent),,Final,47.3983355414537,-122.928314938546,242479930,2024-01-19 21:47:29.406666,71,138,171.318603515625,11
22,MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,HCB007,Hood Canal - Lynch Cove,SBE 43,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,01/19/2024,21:47:30.8066667,1/19/2024 9:47:30 PM,,Water,Salt/Marine Water,12.5,m,Dissolved Oxygen,2.18779795908928,mg/L,,DO-CLARK,Dissolved Oxygen (DO) by Electrochemical Polarographic (Clark/Beckman) Cell Sensor with Fixed Membrane (Flow Dependent),,Final,47.3983355414537,-122.928314938546,242479931,2024-01-19 21:47:30.806666,71,138,170.19737243652344,12
23,MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,HCB007,Hood Canal - Lynch Cove,SBE 43,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,01/19/2024,21:47:32.2066667,1/19/2024 9:47:32 PM,,Water,Salt/Marine Water,13.0,m,Dissolved Oxygen,1.98655196285248,mg/L,,DO-CLARK,Dissolved Oxygen (DO) by Electrochemical Polarographic (Clark/Beckman) Cell Sensor with Fixed Membrane (Flow Dependent),,Final,47.3983355414537,-122.928314938546,242479932,2024-01-19 21:47:32.206666,71,138,170.19737243652344,12
24,MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,HCB007,Hood Canal - Lynch Cove,SBE 43,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,01/19/2024,21:47:33.6066667,1/19/2024 9:47:33 PM,,Water,Salt/Marine Water,13.5,m,Dissolved Oxygen,1.88781596469879,mg/L,,DO-CLARK,Dissolved Oxygen (DO) by Electrochemical Polarographic (Clark/Beckman) Cell Sensor with Fixed Membrane (Flow Dependent),,Final,47.3983355414537,-122.928314938546,242479933,2024-01-19 21:47:33.606666,71,138,170.16302490234375,13
25,MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,HCB007,Hood Canal - Lynch Cove,SBE 43,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,01/19/2024,21:47:35.0066667,1/19/2024 9:47:35 PM,,Water,Salt/Marine Water,14.0,m,Dissolved Oxygen,1.9070939643383,mg/L,,DO-CLARK,Dissolved Oxygen (DO) by Electrochemical Polarographic (Clark/Beckman) Cell Sensor with Fixed Membrane (Flow Dependent),,Final,47.3983355414537,-122.928314938546,242479934,2024-01-19 21:47:35.006666,71,138,170.16302490234375,13
26,MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,HCB007,Hood Canal - Lynch Cove,SBE 43,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,01/19/2024,21:47:36.4066667,1/19/2024 9:47:36 PM,,Water,Salt/Marine Water,14.5,m,Dissolved Oxygen,1.67912396860123,mg/L,,DO-CLARK,Dissolved Oxygen (DO) by Electrochemical Polarographic (Clark/Beckman) Cell Sensor with Fixed Membrane (Flow Dependent),,Final,47.3983355414537,-122.928314938546,242479935,2024-01-19 21:47:36.406666,71,138,169.89247131347656,14
27,MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,HCB007,Hood Canal - Lynch Cove,SBE 43,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,01/19/2024,21:47:37.8066667,1/19/2024 9:47:37 PM,,Water,Salt/Marine Water,15.0,m,Dissolved Oxygen,1.43330397319794,mg/L,,DO-CLARK,Dissolved Oxygen (DO) by Electrochemical Polarographic (Clark/Beckman) Cell Sensor with Fixed Membrane (Flow Dependent),,Final,47.3983355414537,-122.928314938546,242479936,2024-01-19 21:47:37.806666,71,138,169.89247131347656,14
28,MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,HCB007,Hood Canal - Lynch Cove,SBE 43,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,01/19/2024,21:47:39.2066667,1/19/2024 9:47:39 PM,,Water,Salt/Marine Water,15.5,m,Dissolved Oxygen,1.3547639746666,mg/L,,DO-CLARK,Dissolved Oxygen (DO) by Electrochemical Polarographic (Clark/Beckman) Cell Sensor with Fixed Membrane (Flow Dependent),,Final,47.3983355414537,-122.928314938546,242479937,2024-01-19 21:47:39.206666,71,138,169.66912841796875,15
29,MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,HCB007,Hood Canal - Lynch Cove,SBE 43,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,01/19/2024,21:47:40.6100000,1/19/2024 9:47:40 PM,,Water,Salt/Marine Water,16.0,m,Dissolved Oxygen,1.30978197550774,mg/L,,DO-CLARK,Dissolved Oxygen (DO) by Electrochemical Polarographic (Clark/Beckman) Cell Sensor with Fixed Membrane (Flow Dependent),,Final,47.3983355414537,-122.928314938546,242479938,2024-01-19 21:47:40.610000,71,138,169.66912841796875,15
30,MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,HCB007,Hood Canal - Lynch Cove,SBE 43,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,01/19/2024,21:47:42.0100000,1/19/2024 9:47:42 PM,,Water,Salt/Marine Water,16.5,m,Dissolved Oxygen,1.26683997631073,mg/L,,DO-CLARK,Dissolved Oxygen (DO) by Electrochemical Polarographic (Clark/Beckman) Cell Sensor with Fixed Membrane (Flow Dependent),,Final,47.3983355414537,-122.928314938546,242479939,2024-01-19 21:47:42.010000,71,138,169.33021545410156,16
31,MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,HCB007,Hood Canal - Lynch Cove,SBE 43,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,01/19/2024,21:47:43.4100000,1/19/2024 9:47:43 PM,,Water,Salt/Marine Water,17.0,m,Dissolved Oxygen,1.18666797780991,mg/L,,DO-CLARK,Dissolved Oxygen (DO) by Electrochemical Polarographic (Clark/Beckman) Cell Sensor with Fixed Membrane (Flow Dependent),,Final,47.3983355414537,-122.928314938546,242479940,2024-01-19 21:47:43.410000,71,138,169.33021545410156,16
32,MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,HCB007,Hood Canal - Lynch Cove,SBE 43,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,01/19/2024,21:47:44.8100000,1/19/2024 9:47:44 PM,,Water,Salt/Marine Water,17.5,m,Dissolved Oxygen,1.17554997801781,mg/L,,DO-CLARK,Dissolved Oxygen (DO) by Electrochemical Polarographic (Clark/Beckman) Cell Sensor with Fixed Membrane (Flow Dependent),,Final,47.3983355414537,-122.928314938546,242479941,2024-01-19 21:47:44.810000,71,138,,-1
33,MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,HCB007,Hood Canal - Lynch Cove,SBE 43,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,01/19/2024,21:47:46.2100000,1/19/2024 9:47:46 PM,,Water,Salt/Marine Water,18.0,m,Dissolved Oxygen,1.19258397769928,mg/L,,DO-CLARK,Dissolved Oxygen (DO) by Electrochemical Polarographic (Clark/Beckman) Cell Sensor with Fixed Membrane (Flow Dependent),,Final,47.3983355414537,-122.928314938546,242479942,2024-01-19 21:47:46.210000,71,138,,-1
34,MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,HCB007,Hood Canal - Lynch Cove,SBE 43,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,01/19/2024,21:47:47.6100000,1/19/2024 9:47:47 PM,,Water,Salt/Marine Water,18.5,m,Dissolved Oxygen,1.17687597799301,mg/L,,DO-CLARK,Dissolved Oxygen (DO) by Electrochemical Polarographic (Clark/Beckman) Cell Sensor with Fixed Membrane (Flow Dependent),,Final,47.3983355414537,-122.928314938546,242479943,2024-01-19 21:47:47.610000,71,138,,-1
35,MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,HCB007,Hood Canal - Lynch Cove,SBE 43,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,01/19/2024,21:47:49.0100000,1/19/2024 9:47:49 PM,,Water,Salt/Marine Water,19.0,m,Dissolved Oxygen,1.22532597708702,mg/L,,DO-CLARK,Dissolved Oxygen (DO) by Electrochemical Polarographic (Clark/Beckman) Cell Sensor with Fixed Membrane (Flow Dependent),,Final,47.3983355414537,-122.928314938546,242479944,2024-01-19 21:47:49.010000,71,138,,-1
36,MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,HCB007,Hood Canal - Lynch Cove,SBE 43,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,01/19/2024,21:47:50.4100000,1/19/2024 9:47:50 PM,,Water,Salt/Marine Water,19.5,m,Dissolved Oxygen,1.24174797677994,mg/L,,DO-CLARK,Dissolved Oxygen (DO) by Electrochemical Polarographic (Clark/Beckman) Cell Sensor with Fixed Membrane (Flow Dependent),,Final,47.3983355414537,-122.928314938546,242479945,2024-01-19 21:47:50.410000,71,138,,-1
37,MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,HCB007,Hood Canal - Lynch Cove,SBE 43,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,02/21/2024,21:44:29,2/21/2024 9:44:29 PM,,Water,Salt/Marine Water,1.0,m,Dissolved Oxygen,10.674299800396,mg/L,,DO-CLARK,Dissolved Oxygen (DO) by Electrochemical Polarographic (Clark/Beckman) Cell Sensor with Fixed Membrane (Flow Dependent),,Final,47.3983355414537,-122.928314938546,242496794,2024-02-21 21:44:29.000000,71,138,254.31997680664062,0
38,MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,HCB007,Hood Canal - Lynch Cove,SBE 43,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,02/21/2024,21:44:30.3633333,2/21/2024 9:44:30 PM,,Water,Salt/Marine Water,1.5,m,Dissolved Oxygen,10.1584858100414,mg/L,,DO-CLARK,Dissolved Oxygen (DO) by Electrochemical Polarographic (Clark/Beckman) Cell Sensor with Fixed Membrane (Flow Dependent),,Final,47.3983355414537,-122.928314938546,242496795,2024-02-21 21:44:30.363333,71,138,262.84820556640625,1
39,MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,HCB007,Hood Canal - Lynch Cove,SBE 43,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,02/21/2024,21:44:31.7233333,2/21/2024 9:44:31 PM,,Water,Salt/Marine Water,2.0,m,Dissolved Oxygen,9.53138982176781,mg/L,,DO-CLARK,Dissolved Oxygen (DO) by Electrochemical Polarographic (Clark/Beckman) Cell Sensor with Fixed Membrane (Flow Dependent),,Final,47.3983355414537,-122.928314938546,242496796,2024-02-21 21:44:31.723333,71,138,262.84820556640625,1
40,MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,HCB007,Hood Canal - Lynch Cove,SBE 43,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,02/21/2024,21:44:33.0866667,2/21/2024 9:44:33 PM,,Water,Salt/Marine Water,2.5,m,Dissolved Oxygen,8.51159384083748,mg/L,,DO-CLARK,Dissolved Oxygen (DO) by Electrochemical Polarographic (Clark/Beckman) Cell Sensor with Fixed Membrane (Flow Dependent),,Final,47.3983355414537,-122.928314938546,242496797,2024-02-21 21:44:33.086666,71,138,256.0839538574219,2
